time,open,high,low,close,Plot,New Moon,First Moon,Waning,Full Moon,Plot,Plot,Chars,Chars,Chars,Chars,Chars,Chars
1717743600,2375.5,2379.21,2374.7,2379.2,2378.62,NaN,NaN,NaN,NaN,2375.746386097258,2362.43669816981,0,0,0,0,0,0
1717744500,2379.19,2379.41,2375.03,2375.22,2378.62,NaN,NaN,NaN,NaN,2375.725743505209,2362.5638952029462,0,0,0,0,0,0
1717745400,2375.22,2375.54,2372.99,2373.61,2378.62,NaN,NaN,NaN,NaN,2375.6427731716713,2362.673806693464,0,0,0,0,0,0
1717746300,2373.59,2374.75,2372.91,2373.63,2378.62,NaN,NaN,NaN,NaN,2375.563840890429,2362.7828235422853,0,0,0,0,0,0
1717747200,2373.62,2374,2351.07,2351.31,2369.415,NaN,NaN,NaN,NaN,2374.612709875118,2362.668666094103,0,0,0,0,0,0
1717748100,2351.34,2357.68,2350.99,2352.58,2369.375,NaN,NaN,NaN,NaN,2373.748682036878,2362.5682813568483,0,0,0,0,0,0
1717749000,2352.6,2352.6,2342.68,2347.12,2365.2200000000003,NaN,NaN,NaN,NaN,2372.704419996216,2362.4145671144915,0,0,0,0,0,0
1717749900,2347.13,2348.29,2344.06,2347.37,2365.2200000000003,NaN,NaN,NaN,NaN,2371.7109133296976,2362.2648699292727,0,0,0,0,0,0
1717750800,2347.33,2348.09,2341,2344.53,2364.38,NaN,NaN,NaN,NaN,2370.6449951599056,2362.0884035618174,0,0,0,0,0,0
1717751700,2344.54,2344.54,2337.56,2338.39,2362.66,NaN,NaN,NaN,NaN,2369.380093388929,2361.852598551252,0,0,0,0,0,0
1717752600,2338.4,2341.83,2337.51,2340.81,2362.635,NaN,NaN,NaN,NaN,2368.259697569755,2361.64321946119,0,0,0,0,0,0
1717753500,2340.79,2340.79,2337.65,2339.4,2362.635,NaN,NaN,NaN,NaN,2367.1279447238826,2361.421893894412,0,0,0,0,0,0
1717754400,2339.41,2339.41,2335.2,2337,2361.48,NaN,NaN,NaN,NaN,2365.946456695495,2361.1788899750645,0,0,0,0,0,0
1717755300,2337,2337.71,2333.91,2336.58,2360.835,NaN,NaN,NaN,NaN,2364.79483094273,2360.9341249006857,0,0,0,0,0,0
1717756200,2336.59,2337.13,2334.39,2335.74,2360.835,NaN,NaN,NaN,NaN,2363.6554258077213,2360.6834370907286,0,0,0,0,0,0
1717757100,2335.73,2335.81,2332.17,2333.73,2359.965,NaN,NaN,NaN,NaN,2362.4818796976147,2360.4152436868408,0,0,0,0,0,0
1717758000,2333.67,2335.08,2331.2,2333.58,2359.48,NaN,NaN,NaN,NaN,2361.3484726506495,2360.148226336723,0,0,0,0,0,0
1717758900,2333.58,2335.17,2330.98,2334.74,2359.37,NaN,NaN,NaN,NaN,2360.3050031349376,2359.895408164218,0,0,0,0,0,0
1717759800,2334.71,2335.69,2333.58,2334.96,2357.75,NaN,NaN,NaN,NaN,2359.311081443371,2359.6472946501463,0,0,0,0,0,0
1717760700,2334.98,2339.41,2332.92,2336.69,2357.245,NaN,NaN,NaN,NaN,2358.423980210298,2359.4188638576074,0,0,0,0,0,0
1717761600,2336.71,2339.45,2333.39,2336.08,2355.62,NaN,NaN,NaN,NaN,2357.547745692247,2359.186636356537,0,0,0,0,0,0
1717762500,2336.08,2336.88,2330.41,2333.96,2354.91,NaN,NaN,NaN,NaN,2356.622736057257,2358.9356250495066,0,0,0,0,0,0
1717763400,2334.14,2334.14,2313.47,2319.68,2346.4399999999996,NaN,NaN,NaN,NaN,2355.174001309914,2358.545021815183,0,0,0,0,0,0
1717764300,2319.71,2320.29,2313.91,2319.4,2346.4399999999996,NaN,NaN,NaN,NaN,2353.7710992977604,2358.1555191105545,0,0,0,0,0,0
1717765200,2319.4,2326.38,2317.65,2319.88,2346.4399999999996,NaN,NaN,NaN,NaN,2352.442036580201,2357.774668174131,0,0,0,0,0,0
1717766100,2319.96,2328.14,2319.85,2325.42,2346.4399999999996,NaN,NaN,NaN,NaN,2351.3823488711737,2357.4527311773736,0,0,0,0,0,0
1717767000,2325.51,2326.49,2316.71,2316.99,2346.4399999999996,NaN,NaN,NaN,NaN,2350.0336293075984,2357.0501169368026,0,0,0,0,0,0
1717767900,2316.98,2317.62,2305.07,2309.53,2340.3050000000003,NaN,NaN,NaN,NaN,2348.4452516876927,2356.577279952357,0,0,0,0,0,0
1717768800,2309.56,2315.17,2307.72,2312.79,2339.91,NaN,NaN,NaN,NaN,2347.0470065234695,2356.141585624473,0,0,0,0,0,0
1717769700,2312.77,2320.68,2311.06,2318.4,2339.535,NaN,NaN,NaN,NaN,2345.9235945029413,2355.7660474590552,0,0,0,0,0,0
1717770600,2318.43,2321.15,2316.27,2318.46,2331.375,NaN,NaN,NaN,NaN,2344.8465907969435,2355.394843006726,0,0,0,0,0,0
1717771500,2318.43,2318.53,2310.26,2313.45,2328.835,NaN,NaN,NaN,NaN,2343.6153519421614,2354.977481384769,0,0,0,0,0,0
1717772400,2313.47,2315.57,2311.47,2315.11,2326.6800000000003,NaN,NaN,NaN,NaN,2342.4974950032533,2354.5807900277064,0,0,0,0,0,0
1717773300,2315.1,2315.1,2308.65,2308.65,2326.58,NaN,NaN,NaN,NaN,2341.1701422580277,2354.123767241361,0,0,0,0,0,0
1717774200,2308.54,2310.12,2306.81,2308.49,2324.8050000000003,NaN,NaN,NaN,NaN,2339.8885680518306,2353.6696999056257,0,0,0,0,0,0
1717775100,2308.48,2309.43,2304.53,2305.1,2323.1800000000003,NaN,NaN,NaN,NaN,2338.5243104811707,2353.18641930955,0,0,0,0,0,0
1717776000,2305.11,2308.9,2303.08,2308.41,2321.935,NaN,NaN,NaN,NaN,2337.343357128968,2352.740882799007,0,0,0,0,0,0
1717776900,2308.41,2311.83,2307.21,2311.31,2321.265,NaN,NaN,NaN,NaN,2336.322441163126,2352.328635208967,0,0,0,0,0,0
1717777800,2311.28,2313.28,2307.59,2312.79,2321.265,NaN,NaN,NaN,NaN,2335.3996003331995,2351.9352159531563,0,0,0,0,0,0
1717778700,2312.81,2314.54,2309.42,2311.71,2321.265,NaN,NaN,NaN,NaN,2334.4705963985643,2351.53496504815,0,0,0,0,0,0
1717779600,2311.72,2312.42,2309.29,2310.65,2321.265,NaN,NaN,NaN,NaN,2333.5364553633267,2351.1281494755312,0,0,0,0,0,0
1717780500,2310.64,2311.1,2305.47,2307.5,2321.265,NaN,NaN,NaN,NaN,2332.5154178980983,2350.694038535476,0,0,0,0,0,0
1717781400,2307.46,2308.17,2305.73,2305.94,2321.265,NaN,NaN,NaN,NaN,2331.4732446471926,2350.2487247192025,0,0,0,0,0,0
1717782300,2305.99,2308.36,2303.81,2305.53,2321.265,NaN,NaN,NaN,NaN,2330.4558625041655,2349.8037622841857,0,0,0,0,0,0
1717783200,2305.61,2307.22,2303.82,2304.62,2321.265,NaN,NaN,NaN,NaN,2329.4426914255705,2349.354172609716,0,0,0,0,0,0
1717784100,2304.63,2305.59,2304.34,2305.1,2321.265,NaN,NaN,NaN,NaN,2328.488076075548,2348.9138325837484,0,0,0,0,0,0
1717785000,2305.08,2305.17,2300.4,2301.2,2318.6400000000003,NaN,NaN,NaN,NaN,2327.4179554451343,2348.4390680804277,0,0,0,0,0,0
1717785900,2301.19,2302.3,2300.05,2301.59,2317.0950000000003,NaN,NaN,NaN,NaN,2326.405094447286,2347.9729081990304,0,0,0,0,0,0
1717786800,2301.59,2301.59,2296.67,2297.58,2312.4049999999997,NaN,NaN,NaN,NaN,2325.2746985866083,2347.4714862269007,0,0,0,0,0,0
1717787700,2297.57,2297.88,2293.96,2295.29,2311.05,NaN,NaN,NaN,NaN,2324.0988280538004,2346.9522674584737,0,0,0,0,0,0
1717788600,2295.29,2295.69,2293.06,2293.84,2310.6,NaN,NaN,NaN,NaN,2322.9122073458084,2346.423787185255,0,0,0,0,0,0
1717789500,2293.87,2294.22,2287.69,2288.41,2307.09,NaN,NaN,NaN,NaN,2321.559179606757,2345.8465355714716,0,0,0,0,0,0
1717790400,2288.32,2289.09,2286.85,2287.07,2304,NaN,NaN,NaN,NaN,2320.206662759433,2345.2616944215065,0,0,0,0,0,0
1717791300,2287.05,2292.18,2287.01,2291.05,2304,NaN,NaN,NaN,NaN,2319.0632642198475,2344.722274576516,0,0,0,0,0,0
1717792200,2291.12,2292.15,2290.33,2291.58,2304,NaN,NaN,NaN,NaN,2317.9854891524024,2344.1934957250087,0,0,0,0,0,0
1717793100,2291.55,2294.34,2290.85,2293.05,2304,NaN,NaN,NaN,NaN,2317.0076268327,2343.6846052202823,0,0,0,0,0,0
1717970400,2294.65,2295.57,2289.62,2295.17,2302.69,NaN,NaN,NaN,NaN,2316.1512493098494,2343.201872830031,1,0,0,0,0,0
1717971300,2295.25,2296.07,2292.82,2293.7,2301.21,NaN,NaN,NaN,NaN,2315.2708081604437,2342.7093168814736,0,0,0,0,0,0
1717972200,2293.7,2296.35,2293.51,2296.31,2300.975,NaN,NaN,NaN,NaN,2314.5272470561126,2342.2476321363843,0,0,0,0,0,0
1717973100,2296.27,2298.5,2295.12,2297.53,2300.6949999999997,NaN,NaN,NaN,NaN,2313.8606883480297,2341.802680572838,0,0,0,0,0,0
1717974000,2297.53,2298.61,2296.62,2297.57,2300.6949999999997,NaN,NaN,NaN,NaN,2313.2218378245775,2341.3625543979842,0,0,0,0,0,0
1717974900,2297.55,2299.1,2297.05,2298.91,2300.6949999999997,NaN,NaN,NaN,NaN,2312.6605892824373,2340.9401409213874,0,0,0,0,0,0
1717975800,2298.91,2300.25,2298.32,2299.71,2300.6949999999997,NaN,NaN,NaN,NaN,2312.152723036067,2340.529890762966,0,0,0,0,0,0
1717976700,2299.67,2300,2298.22,2298.6,2300.6949999999997,NaN,NaN,NaN,NaN,2311.621243701319,2340.1126779195533,0,0,0,0,0,0
1717977600,2298.6,2299.86,2296.2,2296.56,2300.6949999999997,NaN,NaN,NaN,NaN,2311.0306066934245,2339.6793179402544,0,0,0,0,0,0
1717978500,2296.54,2296.67,2294.24,2295.8,2299.635,NaN,NaN,NaN,NaN,2310.433327999565,2339.2427078114956,0,0,0,0,0,0
